STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CH,Switzerland,2018,,101.03,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CH,Switzerland,2019,,101.41,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CH,Switzerland,2020,,100.56,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CH,Switzerland,2021,,101.04,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CH,Switzerland,2022,,103.74,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2011,,98.40,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2012,,101.45,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2013,,101.84,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2014,,101.57,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2015,,100.00,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2016,,98.78,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2017,,99.45,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2018,,100.23,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2019,,100.78,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2020,,99.67,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2021,,101.92,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CY,Cyprus,2022,,110.17,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2011,,94.6,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2012,,98.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2013,,99.3,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2014,,99.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2015,,100.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2016,,100.7,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2017,,103.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2018,,105.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2019,,107.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2020,,111.4,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2021,,115.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,CZ,Czechia,2022,,132.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2011,,95.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2012,,97.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2013,,98.6,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2014,,99.3,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2015,,100.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2016,,100.4,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2017,,102.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2018,,104.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2019,,105.5,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2020,,105.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2021,,109.2,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DE,Germany,2022,,118.7,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2011,,96.6,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2012,,98.9,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2013,,99.4,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2014,,99.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2015,,100.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2016,,100.0,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2017,,101.1,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2018,,101.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2019,,102.5,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2020,,102.9,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2021,,104.9,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,DK,Denmark,2022,,113.8,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2011,,95.67,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2012,,98.06,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2013,,99.38,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2014,,99.81,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2015,,100.00,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2016,,100.23,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2017,,101.78,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2018,,103.56,,,
dataflow,ESTAT:TEC00027(1.0),HICP - all items - annual average indices,A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,EA19,Euro area - 19 countries  (2015-2022),2019,,104.80,,,
